,Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,Market Cap,Volume Avg,Sector ID,Sector,IDs,Sub-industry
,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740,103082299964,2589261,6,Consumer Discretionary,1,Advertising
,ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment & Services,"North Chicago, Illinois",,1800,67399190010,5273154,5,Consumer Staples,2,Aerospace & Defense
,ABBV,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,1551152,96164819975,7731448,5,Energy,3,Agricultural Products
,ACE,ACE Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",,896159,35814390021,1367010,4,Financials,4,Air Freight & Logistics
,ACN,Accenture plc,reports,Information Technology,IT Consulting & Services,"Dublin, Ireland",,1467373,55837659999,2952152,7,Health Care,5,Airlines
,ACT,Actavis plc,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",,884629,72723574800,2481596,5,Industrials,6,Alternative Carriers
,ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,"San Jose, California",,796343,35699220028,2554889,7,Information Technology,7,Aluminum
,ADT,ADT Corp,reports,Industrials,Diversified Commercial Services,"Boca Raton, Florida",10/1/2012,1546640,5887636010,2302575,6,Materials,8,Apparel Retail
,AES,AES Corp,reports,Utilities,Electric Utilities,"Arlington, Virginia",,874761,8713427003,5847319,10,Telecommunications Services,9,"Apparel, Accessories & Luxury Goods"
,AET,Aetna Inc,reports,Health Care,Managed Health Care,"Hartford, Connecticut",6/30/1976,1122304,32293090036,2135694,5,Utilities,10,Application Software
,AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",,4977,25719480015,2024156,4,,11,Asset Management & Custody Banks
,AMG,Affiliated Managers Group Inc,reports,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",7/1/2014,1004434,11421279962,450002,4,,,Auto Parts & Equipment
,A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment & Services,"Santa Clara, California",,1090872,12665100007,2448003,5,,,Automobile Manufacturers
,GAS,AGL Resources Inc.,reports,Utilities,Gas Utilities,"Atlanta, Georgia",,1004155,6741525980,709185,10,,,Banks
,APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,2969,31163749957,1146137,8,,,Biotechnology
,ARG,Airgas Inc,reports,Materials,Industrial Gases,"Radnor, Pennsylvania",,804212,8414436050,316793,8,,,Brewers
,AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",,1086222,10670739996,1287899,7,,,Broadcasting & Cable TV
,AA,Alcoa Inc,reports,Materials,Aluminum,"New York, New York",,4281,19040789993,19476955,8,,,Building Products
,ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,"Cheshire, Connecticut",5/24/2012,899866,37287849911,1392612,5,,,Casinos & Gaming
,ATI,Allegheny Technologies Inc,reports,Materials,Diversified Metals & Mining,"Pittsburgh, Pennsylvania",12/31/1978,1018963,3101295010,1293049,8,,,Coal & Consumable Fuels
,ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",12/2/2013,1579241,5170300985,707893,6,,,Computer & Electronics Retail
,AGN,Allergan Inc,reports,Health Care,Pharmaceuticals,"Irvine, California",2/7/1992,850693,65317250004,2169421,5,,,Computer Hardware
,ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",,1101215,17159890045,432226,7,,,Computer Storage & Peripherals
,ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",,899051,29272249972,2125782,4,,,Construction
,ALTR,Altera Corp,reports,Information Technology,Semiconductors,"San Jose, California",,768251,10131409990,3647970,7,,,Construction & Engineering
,MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",,764180,104950600022,6653057,2,,,Construction & Farm Machinery & Heavy Trucks
,AMZN,Amazon.com Inc,reports,Consumer Discretionary,Internet Retail,"Seattle, Washington",11/18/2005,1018724,144356200024,4162725,1,,,Construction Materials
,AEE,Ameren Corp,reports,Utilities,Multi-Utilities & Unregulated Power,"St. Louis, Missouri",9/19/1991,1002910,10986500007,1658786,10,,,Consumer Electronics
,AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",,4904,30729199994,2490918,10,,,Consumer Finance
